Datum,Uhrzeit,PM10,Temp_Kalkleiten,Temp_Graz,WIGE,Train
02.11.18,00:00,19.87192,10.48096,10.862728,0.36716065,1
03.11.18,00:00,19.591768,12.364945,12.775943,0.26600742,1
04.11.18,00:00,29.91807,12.38271,15.001629,0.3030974,1
05.11.18,00:00,30.001984,11.195545,14.049396,0.2687343,1
06.11.18,00:00,32.77194,9.916636,12.957974,0.5496644,1
07.11.18,00:00,41.527485,9.821107,12.669116,0.48278216,1
08.11.18,00:00,49.46518,9.96416,12.213264,0.3907555,1
09.11.18,00:00,26.822638,9.730582,11.416688,0.58458704,1
10.11.18,00:00,30.362516,8.560149,11.732601,0.33731985,1
11.11.18,00:00,32.328556,8.215217,10.623003,0.34950498,1
12.11.18,00:00,13.385441,11.748405,11.576415,0.35602096,1
13.11.18,00:00,14.05235,11.391929,11.597623,0.45060328,1
14.11.18,00:00,23.946714,9.971511,10.596276,0.30020425,1
15.11.18,00:00,20.347256,7.938106,9.216281,0.417048,1
16.11.18,00:00,21.10361,5.6493945,9.034589,0.42267203,1
17.11.18,00:00,16.849539,4.339199,7.3804975,0.61731154,1
18.11.18,00:00,14.6409,1.4926697,4.5010853,0.8002136,1
19.11.18,00:00,18.004442,0.67716557,3.5414686,0.5079375,1
20.11.18,00:00,22.334631,-1.5613647,1.5469748,0.7551457,1
21.11.18,00:00,12.24955,-1.089269,1.8622484,0.6854519,1
22.11.18,00:00,25.872656,0.72535676,3.9254405,0.47665977,1
23.11.18,00:00,28.95967,2.0710182,4.9932804,0.36306062,1
24.11.18,00:00,33.618267,2.601259,5.7887025,0.37532422,1
25.11.18,00:00,23.981667,3.227062,5.7556844,0.3611121,1
26.11.18,00:00,15.8994055,4.387915,6.9207587,0.35632786,1
27.11.18,00:00,5.4637713,2.9215105,5.832891,0.6300848,1
28.11.18,00:00,10.771091,1.2249095,3.96185,0.5698101,1
29.11.18,00:00,23.770248,-0.81932765,2.2135756,0.48445144,1
30.11.18,00:00,24.745874,-3.3505182,0.27662608,0.4912646,1
01.12.18,00:00,41.393032,-5.4155154,-2.4375064,0.42144063,1
02.12.18,00:00,53.793655,-2.2368805,-0.32866985,0.33692467,1
03.12.18,00:00,60.766438,1.0801564,-0.25456992,0.3751718,1
04.12.18,00:00,60.800503,7.9847813,5.030629,0.27081263,1
05.12.18,00:00,32.163563,8.22475,8.0820265,0.3758252,1
06.12.18,00:00,20.442598,1.9189626,4.720077,0.4326997,1
07.12.18,00:00,33.044785,0.70587784,3.2844877,0.47921848,1
08.12.18,00:00,55.441143,8.238285,4.6255393,0.28990275,1
09.12.18,00:00,25.21634,5.352562,5.8411794,0.2569388,1
10.12.18,00:00,21.293215,4.5195627,3.7814646,0.22627449,1
11.12.18,00:00,17.247189,2.091952,3.5055885,0.38470936,1
12.12.18,00:00,18.758337,0.2680061,2.582576,0.4339132,1
13.12.18,00:00,14.373057,0.426141,3.9115417,0.6349595,1
14.12.18,00:00,20.69364,-2.711643,0.6889386,0.4153799,1
15.12.18,00:00,15.878433,-3.9669507,-0.34563887,0.6478397,1
16.12.18,00:00,23.171043,-3.563545,-0.13070759,0.49460337,1
17.12.18,00:00,30.579016,-5.0256906,-3.07514,0.4024055,1
18.12.18,00:00,53.526905,-1.2240218,-1.4348587,0.26980332,1
19.12.18,00:00,52.346546,0.55136245,-0.40892315,0.27575496,1
20.12.18,00:00,41.084595,-1.7069458,-0.052844193,0.38151065,1
21.12.18,00:00,51.003265,-0.71316147,0.15585673,0.3252932,1
22.12.18,00:00,51.66214,3.9544642,-0.06426096,0.3554494,1
23.12.18,00:00,32.710953,6.9811726,3.6702678,0.31593546,1
24.12.18,00:00,27.605453,6.003737,4.8204656,0.22967471,1
25.12.18,00:00,18.994923,4.269771,5.871598,0.9455649,1
26.12.18,00:00,11.15628,1.5551862,3.328193,0.45904705,1
27.12.18,00:00,23.10595,1.969791,0.5575739,0.20386797,1
28.12.18,00:00,34.184612,4.9495826,1.5296987,0.27259448,1
29.12.18,00:00,43.497547,7.040095,3.454172,0.21266858,1
30.12.18,00:00,30.421686,2.2287447,2.328522,0.2561159,1
31.12.18,00:00,27.610094,3.1121414,3.8571463,0.38114515,1
